school_id,region,division,n_test_takers,filipino_mps,math_mps,english_mps,science_mps,araling_panlipunan_mps,overall_mps
100425,Region I,Candon City,4,61.111111111111114,30.76923076923077,47.22222222222222,38.888888888888886,50.0,45.708955223880594
100426,Region I,Candon City,12,48.4567901234568,27.24358974358974,30.8641975308642,25.0,26.543209876543212,31.65422885572139
100427,Region I,Candon City,4,48.148148148148145,36.53846153846154,40.74074074074074,28.703703703703702,37.96296296296296,38.43283582089552
100428,Region I,Candon City,6,67.90123456790123,46.15384615384615,55.55555555555556,43.827160493827165,47.53086419753087,52.23880597014925
100429,Region I,Candon City,9,55.55555555555556,38.034188034188034,50.205761316872426,30.041152263374485,40.74074074074074,42.95190713101161
100430,Region I,Candon City,6,64.81481481481481,57.05128205128206,71.60493827160494,53.086419753086425,64.81481481481481,62.3134328358209
100431,Region I,Candon City,4,56.48148148148148,28.846153846153847,37.03703703703704,33.333333333333336,50.92592592592592,41.417910447761194
100433,Region I,Candon City,6,48.76543209876542,33.33333333333333,45.06172839506172,31.48148148148148,39.50617283950617,39.67661691542288
100434,Region I,Candon City,12,64.50617283950618,35.57692307692308,57.71604938271606,43.20987654320987,53.7037037037037,51.05721393034826
100435,Region I,Candon City,10,52.96296296296296,33.46153846153846,52.22222222222222,37.03703703703704,52.96296296296296,45.82089552238806
100436,Region I,Candon City,21,60.670194003527335,41.57509157509158,55.90828924162257,47.08994708994709,46.73721340388007,50.46197583511017
100437,Region I,Candon City,4,67.5925925925926,42.30769230769231,62.96296296296296,35.18518518518518,46.2962962962963,50.93283582089552
100439,Region I,Candon City,4,53.7037037037037,30.76923076923077,37.03703703703704,33.333333333333336,37.96296296296296,38.61940298507463
100440,Region I,Candon City,10,64.81481481481481,37.69230769230769,39.629629629629626,40.74074074074074,47.407407407407405,46.11940298507463
100438,Region I,Candon City,6,54.93827160493828,30.128205128205124,37.65432098765432,31.48148148148148,54.32098765432098,41.791044776119406
496011,Region I,Candon City,2,46.2962962962963,40.38461538461539,51.851851851851855,42.592592592592595,46.2962962962963,45.52238805970149
100442,Region I,Candon City,6,48.148148148148145,25.0,41.97530864197532,31.48148148148148,34.567901234567906,36.318407960199
100443,Region I,Candon City,2,68.51851851851852,65.38461538461539,64.81481481481481,53.7037037037037,55.55555555555556,61.56716417910448
100444,Region I,Candon City,2,62.96296296296296,40.38461538461539,66.66666666666667,46.2962962962963,48.148148148148145,52.985074626865675
100445,Region I,Candon City,6,60.49382716049382,47.435897435897445,53.7037037037037,40.12345679012346,56.79012345679013,51.741293532338304
100447,Region I,Candon City,14,59.25925925925926,38.18681318681319,51.32275132275132,40.211640211640216,43.65079365079365,46.588486140724946
400030,Region I,Candon City,4,52.77777777777778,33.65384615384615,58.333333333333336,44.44444444444444,52.77777777777778,48.507462686567166
496009,Region I,Candon City,2,40.74074074074074,26.923076923076923,46.2962962962963,40.74074074074074,37.03703703703704,38.43283582089552
